age,temp,ci
0,18.22,0.2
1,15.38,0.11
2,16.19,0.1
3,17.16,0.09
4,17.47,0.08
5,17.13,0.09
6,15.19,0.26
7,15.67,0.55
8,16.11,0.89
9,16.99,0.66
10,18.94,0.82
11,17.78,0.58
12,16.57,0.84
13,15.25,0.2
14,16.74,0.81
15,17.09,0.96
16,17.64,1.13
17,16.83,1.12
18,15.43,0.93
20,16.64,0.82
22,19.03,0.93
23,18.61,0.98
24,18.49,1.42
26,14.09,0.92
27,15.24,2.01
28,14.47,2.17
29,15.22,0.76
30,15.67,2.56
32,21.8,1.15
33,21.25,0.39
34,21.79,0.43
35,22.17,1.14
37,16.21,1.65
39,16.8,0.86
41,17.82,0.69
42,18.07,1.73
43,18.43,1.38
44,15.74,0.71
45,21.54,1.11
46,19.8,0.27
47,17.41,0.69
48,21.81,2.65
49,23.75,1.45
50,22.98,1.43
51,20.88,1.74
52,22.07,2.33
53,22.38,2.17
54,20.43,1.88
55,26.45,0.89
56,20.06,1.04
57,18.33,1.03
58,18.34,1.32
59,20.06,1.51
60,17.15,0.55
61,17.49,1.14
62,15.81,0.89
63,15.62,0.99
66,18.81,0.99
67,17.09,0.5
68,17.92,0.49
69,15.82,0.45
70,15.96,0.36
71,15.89,0.26
72,16.25,0.42
73,17.3,0.68
74,16.95,0.43
75,16.45,0.35
76,20.26,0.77
77,19.08,1.09
78,19.47,1.3
79,18.06,0.95
80,16.7,0.93
82,27.63,2.16
84,22.07,2.8
86,29.91,0.57
87,28.72,1.58
88,29.79,0.56
89,29.71,0.69
90,30.45,0.61
91,31.97,0.45
92,31.93,0.17
93,31.75,0.13
94,31.66,0.24
95,30.03,0.65
96,24.98,0.62
97,28.37,0.51
98,27.86,0.94
99,24.77,1.09
100,25.44,1.02
101,24.66,0.21
102,24.1,0.22
103,24.01,0.54
104,23.54,0.81
105,22.89,0.62
106,22.08,1.65
107,20.9,1.12
108,19.91,3.21
109,20.6,2.62
112,19.45,4.3
116,22.86,1.92
117,24.28,2.44
118,24.33,1.06
119,22.68,3.25
120,21.66,0.62
121,20.22,0.54
122,21.49,1.21
123,21.42,1.51
124,20.87,0.11
125,20.74,0.2
126,20.84,0.55
127,20.5,3.06
128,17.87,0.9
129,25.24,2.23
130,23.4,1.16
131,21.25,1.6
132,21.3,1.25
133,22,1.89
134,20.69,2.14
135,18.56,2
136,18.17,1.57
137,16.29,0.42
138,16.94,0.82
139,19.39,1.36
140,17.8,0.6
141,18.06,3.09
142,17.25,1.2
145,17.85,3.93
150,19.3,
153,19.29,1.01
154,20.44,3
156,24.39,2.45
157,19.12,3.98
158,20.51,4.37
159,20.07,2.09
160,21.8,1.68
161,19.4,2.52
162,16.76,1.14
164,19.43,0.72
165,23.52,1.7
166,22.66,0.93
167,25.16,0.45
168,24.88,2.4
169,25.34,1.44
170,20.05,0.95
171,23.02,1.18
172,25.71,2.86
173,21.07,1.13
174,23.05,5.02
175,26.2,2.09
176,29.07,2.63
177,24.46,3.27
178,26.51,1.76
179,25.41,1.31
180,26.58,1.14
181,24.08,0.58
182,22.23,0.44
183,18.88,0.51
184,18.38,0.59
185,20.02,1.23
186,18.85,0.77
187,21.91,0.84
188,22.54,0.8
189,21.14,0.43
190,21.42,0.42
191,20.42,0.69
192,20.44,1.07
193,21.67,2.19
195,21.16,2.5
197,22.88,3.42
198,16.44,1.41
199,19.66,1.85
200,20.81,2.45
201,15.24,0.39
202,12.08,0.62
203,15.61,0.32
204,18.35,2.83
205,19.65,1.22
206,20.04,1.75
207,20.98,3.78
209,21.46,5.66
210,22.81,4.54
211,23.53,4.21
212,24.41,4.35
214,26.29,3.94
217,24.21,6.92
222,19.93,
226,21.44,4.99
230,23.46,0.38
231,23.52,4.15
232,24.17,3.51
234,22.64,5.51
235,19.57,2.77
236,24.72,1.65
237,22.27,4.64
238,25.25,4.41
240,27.97,3.03
242,26.11,1.94
244,31.39,3.59
245,28.53,4.7
246,22.98,3.92
247,23.87,2.08
248,25.98,1.61
249,29.28,1.45
250,29.8,1.54
251,29.94,0.97
252,23.84,0.75
253,18.57,0.77
254,20.21,0.78
255,20.54,4.34
256,21.29,1.64
257,22.86,0.85
258,23.11,1.36
259,22.93,1.26
260,20.56,0.86
261,23.25,1.01
262,18.79,3.53
264,19.3,1.01
265,18.5,1.84
266,17,1.2
268,20.59,3.31
270,18.42,1.86
271,17.3,2.64
272,17.63,2.27
274,17.61,2.92
275,16.54,1.62
276,14.38,2.48
277,15.06,4.88
279,17.41,2.14
282,14.54,4.92
285,15.45,2.17
288,17.42,5.13
290,15.66,3.74
291,14.13,3.67
292,16.4,4.18
293,14.15,2.35
294,12.32,1.71
295,16.91,4.89
296,15.71,3.16
297,14.23,1.39
298,12.85,2.32
299,17.47,1.83
300,17.2,2.71
301,20,0.83
302,22.45,2.1
303,20.51,4.4
304,18.1,4.05
305,20.49,2.81
306,22.13,4.58
307,21.25,4.98
308,22.18,3.87
310,21.73,3.65
311,20.51,3.5
312,15.43,5.36
313,16.29,2.1
314,13.5,0.89
315,11.28,0.74
316,10.94,1.07
317,11.77,0.77
318,9.42,1.17
319,9.37,7.14
321,10.54,5.25
322,11.18,0.96
323,12.37,1.95
324,12.97,0.48
325,13.5,1.49
326,12.33,1.45
327,15.36,1.62
328,15.84,1.87
329,15.13,1.43
330,13.76,1.17
331,14.04,3.24
332,13,4.3
333,13.47,2.78
334,13.04,2.37
335,13.02,3.96
336,14.87,6.31
339,18.54,7.18
345,20.6,2.26
347,20.12,1.72
348,20.33,0.96
349,21.14,3.64
350,23.04,2.2
351,23.92,1.41
352,23.67,1.36
353,27.34,1.2
355,29.36,6.87
356,28.04,4.27
357,27.94,2.93
358,27.17,1.25
359,27.03,1.03
360,28.43,2.31
361,27.57,0.82
362,31.35,0.79
363,29.4,2.15
364,29.85,1.68
365,30.03,1.88
366,30.77,1.13
367,31.74,1.11
368,33.1,1.17
369,34.73,2.8
370,32.95,1.08
371,32.65,0.81
372,31.22,0.75
373,33.52,0.64
374,31.64,0.6
375,30.89,0.84
376,31.11,2.75
379,24.59,2.14
381,25.77,2.34
382,24.35,1.22
383,25.59,1.03
384,31.7,1.53
385,34.44,2.66
386,25.15,0.42
387,24.89,0.99
388,24.31,1.68
389,28.26,2.45
390,27.53,2.01
391,26.08,0.92
392,25.03,1.38
393,25.03,2.19
394,26.26,3.02
395,24.92,2.32
396,24.42,3.89
398,23.73,3.98
400,24.54,4.25
403,33.18,2.78
405,30.55,2.53
406,27,0.25
407,26.7,0.65
409,28.9,1.3
410,29.86,1
412,34.42,2.64
414,35.55,1.14
415,33.54,2.19
416,32.46,0.71
421,31.8,2.16
422,29.39,2.16
423,30.03,3.57
424,27.84,1.36
425,32.54,1.15
426,30.69,2.81
427,28.36,2.59
428,28.02,1.42
429,25.73,2.65
430,26.92,1.66
431,28.04,1.06
432,26.02,1.84
433,30.22,1.88
434,28.52,1.19
435,31.28,1.75
436,30.14,0.82
437,31.26,2.35
438,30.6,2.54
439,29.17,1.75
441,29.21,1.14
442,26.87,2.83
443,26.14,1.08
444,24.71,1.44
445,26.14,3.04
446,25.28,2.69
447,29.78,1.21
448,28.25,0.97
449,29.04,2.39
450,28.37,0.76
451,27.79,0.54
452,27.93,0.47
453,27.86,0.88
454,27.13,1.34
459,31.14,2.96
460,30.56,1.17
462,34.71,2.44
466,32.74,1.5
468,33.79,1.8
472,35.55,1.41
474,38.49,0.97
477,37.41,1.71
480,40.61,1.09
482,39.55,
484,42.7,1.25
485,43.88,1.25
493,46.87,2.59
494,48.88,1.86
495,50.19,1.86
496,47.37,1.1
497,42.97,4.39
498,45.82,2.15
154,20.77980679,
153,20.83793163,
152,20.89843241,
151,20.96114064,
150,21.02588689,
149,21.09250101,
148,21.16081007,
147,21.23064043,
146,21.30181842,
145,21.37417039,
144,21.44752239,
143,21.52169913,
142,21.59652503,
141,21.67182441,
140,21.74742116,
139,21.8231391,
138,21.89880233,
137,21.97423573,
136,22.04926539,
135,22.12371901,
134,22.19742635,
133,22.2702196,
132,22.34193383,
131,22.41240733,
130,22.481482,
129,22.54900374,
128,22.61482276,
127,22.67879395,
126,22.74077719,
125,22.80063767,
124,22.85824615,
123,22.91347928,
122,22.96621985,
121,23.016357,
120,23.06378651,
119,23.10841096,
118,23.15013997,
117,23.18889032,
116,23.22458617,
115,23.25715917,
114,23.28654729,
113,23.3126898,
112,23.33552594,
111,23.35499629,
110,23.37104674,
109,23.38362448,
108,23.39267806,
107,23.3981627,
106,23.40004164,
105,23.39828606,
104,23.39287511,
103,23.38379579,
102,23.37104289,
101,23.3546189,
100,23.33453392,
99,23.31080548,
98,23.28345848,
97,23.25252497,
96,23.21804401,
95,23.18006152,
94,23.13863003,
93,23.09380852,
92,23.04566219,
91,22.99426222,
90,22.93968558,
89,22.88201471,
88,22.82133732,
87,22.75774611,
86,22.69133848,
85,22.62221627,
84,22.55048482,
83,22.47625076,
82,22.39962308,
81,22.32071185,
80,22.23962911,
79,22.15648777,
78,22.07140262,
77,21.98449044,
76,21.8958697,
75,21.80566024,
74,21.71398294,
73,21.6209594,
72,21.52671166,
71,21.43136182,
70,21.33503182,
69,21.23784303,
68,21.13991605,
67,21.04137031,
66,20.94232386,
65,20.84289304,
64,20.74319256,
63,20.64333681,
62,20.54343974,
61,20.4436129,
60,20.34396481,
59,20.24460071,
58,20.14562231,
57,20.04712761,
56,19.94921063,
55,19.85196124,
54,19.75546496,
53,19.65980281,
52,19.56505109,
51,19.47128127,
50,19.37855981,
49,19.28694809,
48,19.19650221,
47,19.10727297,
46,19.01930573,
45,18.93264036,
44,18.84731117,
43,18.76334686,
42,18.6807705,
41,18.59959951,
40,18.51984568,
39,18.44151607,
38,18.36461588,
37,18.28914661,
36,18.21510791,
35,18.14249584,
34,18.07130465,
33,18.00152426,
32,17.93313949,
31,17.86613017,
30,17.80047208,
29,17.73613948,
28,17.67310289,
27,17.61132858,
26,17.55077875,
25,17.49141177,
24,17.43318298,
23,17.37604658,
22,17.31995429,
21,17.26485506,
20,17.21069571,
19,17.15742235,
18,17.10497987,
17,17.05331269,
16,17.00236431,
15,16.95207754,
14,16.90239478,
13,16.85325851,
12,16.80461165,
11,16.75639799,
10,16.70856268,
9,16.66105262,
8,16.61381696,
7,16.56680759,
6,16.5199796,
5,16.47329182,
4,16.42670733,
3,16.38019395,
2,16.33372486,
1,16.28727907,
0,16.24084207,
