"first_author","year","title","doi","source","scope","category","time_period","temporal_resolution","spatial_scale","taxonomic_group","paper_type","framing_title","framing_abstract","scope_multi_species","scope_multi_higher_class_and_up","reporting_significance","reporting_effect_size","reporting_uncertainty_w_effect_size","attribution_component","attribution_quant_test","relevance_for_prediction_potentially_1","relevance_for_prediction_directly_1","scored_sum"
"Fernandez, MH",2006,"Plio-Pleistocene climatic change in the Turkana Basin (East Africa): Evidence from large mammal faunas","10.1016/j.jhevol.2005.11.004","Web of Science","ecological","deep-time","Plio-Pleistocene",NA,"Local","Mammals","Original data",1,1,1,0,1,1,0,1,1,1,1,9
"Payne, R",2007,"Laboratory experiments on testate amoebae preservation in peats: Implications for palaeoecology and future studies",NA,"Web of Science","","","","","","","",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"Ciangherotti, A",2007,"The remarkable Middle Pliocene non-marine mollusc record from Ceresole d'Alba, Piedmont, north-west Italy: Biochronology, palaeobiogeography and palaeoecology supported by fossil plants","10.1016/j.geobios.2006.10.005","Web of Science","ecological","deep-time","Middle Pliocene","millions of years","Local","non-marine mollusc","Original data",0,1,1,1,0,1,1,0,0,0,0,5
"Lytle, DE",2005,"Palaeoecological evidence of state shifts between forest and barrens on a Michigan sand plain, USA","10.1191/0959683605hl856ra","Web of Science","ecological","near-time","11000 - 2000 BP","10 years","Local","Vegetation","Original data",0,1,1,1,0,1,0,1,1,1,0,7
"Kraemer, MMS",2007,"Systematic, palaeoecology, and palaeobiogeography of the insect fauna from Mexican amber",NA,"Web of Science","ecological","deep-time","20 Ma",NA,"Local","Arthropods","Original data",0,0,1,0,0,0,0,1,0,0,0,2
"Verschuren, D",2006,"Quaternary paleoecology of aquatic Diptera in tropical and Southern Hemisphere regions, with special reference to the Chironomidae","10.1016/j.quascirev.2006.01.008","Web of Science","ecological","near-time","Quaternary",NA,"Global","Diptera","Review (nothing new)",0,0,1,0,0,1,0,1,0,1,0,4
"Ravazzi, C",2005,"The lacustrine deposits of Fornaci di Ranica (late Early Pleistocene, Italian Pre-Alps): stratigraphy, palaeoenvironment and geological evolution","10.1016/j.quaint.2004.07.021","Web of Science","ecological","deep-time","late Early Pleistocene",NA,"Local","multiple","Original data",0,1,1,1,0,0,0,1,0,0,0,4
"Kostak, M",2004,"Belemnites of the Bohemian Cretaceous Basin in a global context",NA,"Web of Science","ecological","deep-time","Cretaceous","Geological stages","Basin","Belemnites","Original data",0,0,1,0,0,0,0,1,0,0,0,2
"Gotz, S",2003,"Biotic interaction and synecology in a Late Cretaceous coral-rudist biostrome of southeastern Spain","10.1016/S0031-0182(02)00719-8","Web of Science","ecological","deep-time","Late Cretaceous","millions of years","Local","Coral-Rudist","Original data",0,0,1,1,0,0,0,0,0,0,0,2
"Bianucci, G",2006,"Palaeoecology and taphonomy of an extraordinary whale barnacle accumulation from the Plio-Pleistocene of Ecuador","10.1016/j.palaeo.2006.07.004","Web of Science","ecological","deep-time","Late Pliocene-Pleistocene","100000 years","Local","Whales, barnacles","Original data",0,0,1,1,0,0,0,1,0,0,0,3
"Rull, V",2005,"Vegetation and environmental constancy in the Neotropical Guayana Highlands during the last 6000 years?","10.1016/j.revpalbo.2005.03.008","Web of Science","ecological","near-time","0 - 6,000 BP (LGM)","10 years","Regional","Pollen","Original data",1,1,1,1,0,0,0,1,0,1,0,6
"Mourer-Chauvire, C",2004,"The birds of the Late Pliocene of Saint-Vallier (Drome, France)","10.1016/S0016-6995(04)80010-X","Web of Science","ecological","deep-time","Late Pliocene",NA,"Local","Birds","Original data",0,1,1,0,0,0,0,1,0,0,0,3
"Koch, PL",2006,"Late quaternary extinctions: State of the debate","10.1146/annurev.ecolsys.34.011802.132415","Web of Science","ecological","near-time","Late Quaternary","1000 years","Global","multiple","Review (nothing new)",0,1,1,1,0,1,0,1,0,1,0,6
"Heinz, C",2004,"Holocene vegetation changes in the northwestern Mediterranean: new palaeoecological data from charcoal analysis and quantitative eco-anatomy","10.1191/0959683604hl739rr","Web of Science","ecological","near-time","5285-3540 BP","10 years","Local","Vegetation","Original data",0,1,1,1,0,1,0,1,1,1,0,7
"Wolfe, BB",2005,"Impacts of climate and river flooding on the hydro-ecology of a floodplain basin, Peace-Athabasca Delta, Canada since AD 1700","10.1016/j.yqres.2005.05.001","Web of Science","ecological","near-time","1700 - 2000","10 years","Local","Diatoms, plants, invert macrofossil","Original data",1,1,1,1,0,0,0,1,0,1,0,6
"Rasmussen, JA",2003,"Palaeoecology and palaeoenvironments of the lower palaeogene succession, offshore West Greenland","10.1016/j.marpetgeo.2003.11.001","Web of Science","ecological","deep-time","60 - 30 Ma ","","","","",0,0,1,1,NA,NA,NA,NA,NA,NA,NA,2
"Jaeger, JJ",2004,"Systematics and paleobiology of the anthropoid primate Pondaungia from the late Middle Eocene of Myanmar","10.1016/j.crpv.2004.05.003","Web of Science","ecological","deep-time","Eocene",NA,"Local","primates","Original data",0,1,1,0,0,0,0,1,0,0,0,3
"Vizcaino, SF",2006,"The armadillos (Mammalia, Xenarthra, Dasypodidae) of the Santa Cruz formation (early-middle Miocene): An approach to their paleobiology","10.1016/j.palaeo.2005.12.006","Web of Science","ecological","deep-time","early-middle Miocene",NA,"Local","Armadillos","Original data",0,0,1,0,0,0,0,1,0,0,0,2
"Bambach, RK",2006,"Phanerozoic biodiversity mass extinctions","10.1146/annurev.earth.33.092203.122654","Web of Science","ecological","deep-time","Phanerozoic",NA,"Global","multiple","Review (nothing new)",0,0,1,1,0,1,0,1,0,1,0,5
"Jaitly, AK",2007,"Approaches to palaeoecology: A case study from the Late Cretaceous (Campanian-Maastrichtian) benthic bivalves of ariyalur, Tamil Nadu","researchgate","Web of Science","ecological","deep-time","Campanian-Maastrichtian","na","Local","Mollusks and associated inverts","Original data",0,0,1,1,0,0,0,1,0,1,0,4
"Fernandez, S",2007,"The Holocene and Upper Pleistocene pollen sequence of Carihuela Cave, southern Spain","10.1016/j.geobios.2006.01.004","Web of Science","ecological","near-time","15,700 - 1250 BP","10 years","Local","Vegetation","Original data",0,0,1,1,0,1,1,1,0,1,0,6
"Anton, M",2005,"Co-existence of scimitar-toothed cats, lions and hominins in the European Pleistocene. Implications of the post-cranial anatomy of Homotherium latidens (Owen) for comparative palaeoecology","10.1016/j.quascirev.2004.09.008","Web of Science","ecological","deep-time","Pleistocene",NA,"Local","Big cats","Original data",0,1,1,1,0,0,0,1,0,0,0,4
"Brunelle, A",2003,"Sedimentary charcoal as an indicator of late-Holocene drought in the Sierra Nevada, California, and its relevance to the future","10.1191/0959683603hl591rp","Web of Science","ecological","near-time","2,750 - 13,200 BP (Mediaeval Warm Period)","100 years","Local","Pollen, charcoal","Original data",1,1,1,1,0,1,0,1,0,1,0,7
"Schwab, MJ",2004,"Holocene palaeoecology of the Golan Heights (Near East): investigation of lacustrine sediments from Birkat Ram crater lake","10.1016/j.quascirev.2004.05.001","Web of Science","ecological","near-time","Holocene","10 years","Local","Vegetation","Original data",0,0,1,1,0,1,0,0,0,0,0,3
"Gavin, DG",2003,"Holocene fire history of a coastal temperate rain forest based on soil charcoal radiocarbon dates","10.1890/0012-9658(2003)084[0186:HFHOAC]2.0.CO;2","Web of Science","ecological","near-time","0 - 11,000","100 years","Local","Soil charcoal, plants","Original data",0,1,1,1,1,0,0,1,0,1,0,6
"Strong, WL",2003,"Post-hypsithermal plant disjunctions in western Alberta, Canada","10.1046/j.1365-2699.2003.00838.x","Web of Science","ecological","near-time","9000-6000 BP",NA,"Regional","Vegetation","Original data",1,1,1,0,0,1,0,1,1,1,1,8
"Peyrot, D",2007,"Contributions to the palaeoenvironmental knowledge of the Escucha Formation in the Lower Cretaceous Oliete Sub-basin, Teruel, Spain","10.1016/j.crpv.2007.09.014","Web of Science","ecological","deep-time","Lower Cretaceous",NA,"Local","Vegetation","Original data",0,0,1,1,0,1,0,1,0,1,0,5
"Morris, SC",2006,"Darwin's dilemma: the realities of the Cambrian 'explosion'","10.1098/rstb.2006.1846","Web of Science","ecological","deep-time","Cambrian",NA,"Global","multiple","Review (nothing new)",0,1,1,1,0,0,0,1,0,0,0,4
"Jagt-Yazykova, E",2006,"Molluscs from the Early Frasnian Goniatite Level at Kostomloty in the Holy Cross Mountains, Poland",NA,"Web of Science","ecological","deep-time","Early Frasnian",NA,"Local","Molluscs","Original data",0,1,1,1,0,0,0,1,0,0,0,4
"Abramovich, S",2003,"Planktonic foraminiferal response to the latest Maastrichtian abrupt warm event: a case study from South Atlantic DSDP Site 525A","10.1016/S0377-8398(03)00021-5","Web of Science","ecological","deep-time","65.45 - 65.10 Ma","10000 years","Local","Foraminifera","Original data",1,1,1,0,0,0,0,1,0,1,0,5
"Lamentowicz, M",2007,"Palaeoecological evidence for anthropogenic acidification of a kettle-hole peatland in northern Poland","10.1177/0959683607085123","Web of Science","ecological","near-time","3170-30 BP","10 years","Local","Vegetatation","Original data",0,1,1,1,0,1,0,1,0,0,0,5
"Willis, KJ",2007,"Biodiversity hotspots through time: an introduction","10.1098/rstb.2006.1976","Web of Science","ecological","various","various","na","na","various","Review (nothing new)",0,0,1,1,0,0,0,1,0,1,0,4
"Bennike, O",2004,"Reinvestigation of the classic late-glacial Bolling So sequence, Denmark: chronology, macrofossils, Cladocera and chydorid ephippia","10.1002/jqs.852","Web of Science","ecological","near-time","10 - 13 ka","10 years","Local","Plants, cladocera","Original data",0,1,1,1,0,0,0,1,0,1,0,5
"Williams, M",2003,"Stratigraphical and palaeoecological importance of Caradoc (Upper Ordovician) graptolites from the Cardigan area, southwest Wales","10.1017/S0016756803008057","Web of Science","ecological","deep-time","upper Ordovician",NA,"Regional","graptolites","Original data",0,0,1,0,0,0,0,1,0,0,0,2
"Matthews, T",2005,"The palaeoecology of the micromammals from the late middle Pleistocene site of Hoedjiespunt 1 (Cape Province, South Africa)","10.1016/j.jhevol.2005.05.006","Web of Science","ecological","near-time","0 - 300 ka BP","1000 years","Local","Micromammals","Original data",0,1,1,0,0,0,0,1,0,1,0,4
"Carrion, JS",2003,"Holocene vegetation dynamics, fire and grazing in the Sierra de Gador, southern Spain","10.1191/0959683603hl662rp","Web of Science","ecological","near-time","Holocene (c. 6850 to 1160 cal. yr BP)","10 years","Regional","Vegetation","Original data",0,1,1,1,1,1,0,0,0,1,0,6
"Tinner, W",2005,"Rapid responses of high-mountain vegetation to early Holocene environmental changes in the Swiss Alps","10.1111/j.1365-2745.2005.01023.x","Web of Science","ecological","near-time","7,800 - 11,800 BP","10 years","Local","Plant microfossils (lake)","Original data",1,1,1,1,0,0,0,1,0,1,0,6
"Isaza-Londono, C",2006,"Maastrichtian North Atlantic warming, increasing stratification, and foraminiferal paleobiology at three timescales","10.1029/2004PA001130","Web of Science","climate and environment","deep-time","Cretaceous","100000 years","Local","Foraminifera","Original data",1,1,1,0,1,1,1,1,0,0,0,7
"Pradella, C",2007,"Mesopithecus (Primates : Cercopithecoidea) from Villafranca d'Asti (Early Villafranchian; NW italy) and palaeoecological context of its extinction","10.1007/s00015-007-1208-2","Web of Science","ecological","deep-time","late Miocene - Pliocene",NA,"Local","Primate","Original data",0,0,1,0,0,1,0,1,0,0,0,3
"Sexton, PF",2006,"Palaeoecology of late middle Eocene planktic foraminifera and evolutionary implications","10.1016/j.marmicro.2006.02.006","Web of Science","ecological","deep-time","late middle Eocene","millions of years","Local","planktic foraminifera","Original data",0,0,1,0,0,0,0,1,1,1,0,4
"Lieberman, BS",2007,"Paleontological patterns, macroecological dynamics and the evolutionary process","10.1007/s11692-007-9005-4","Web of Science","ecological","deep-time","Phanerozoic",NA,NA,"","Review (nothing new)",0,1,1,1,0,0,0,1,0,1,0,5
"Van der Putten, N",2005,"The onset of deglaciation of Cumberland Bay and Stromness Bay, South Georgia","10.1017/S0954102005002397","Web of Science","ecological","near-time","15715-8225 BP","10 years","Local","Vegetation","Original data",1,1,1,1,0,0,0,1,0,1,0,6
"Villa, G",2003,"Biostratigraphic characterization and Quaternary microfossil palaeoecology in sediment drifts west of the Antarctic Peninsula - implications for cyclic glacial-interglacial deposition","10.1016/S0031-0182(03)00403-6","Web of Science","ecological","near-time","70 - 127 ka ","na","Regional","Nannofossils, diatoms, foraminifera","Original data",0,1,1,1,0,0,0,1,0,1,0,5
"Candela, Y",2006,"Late Ordovician brachiopod faunas from pomeroy, Northern Ireland: a palaeoenvironmental synthesis",NA,"Web of Science","ecological","deep-time","Late Ordovician","millions of years","Local","Brachipod","Original data",0,0,1,0,0,1,0,0,0,0,0,2
"Koufos, GD",2006,"Palaeoecology and chronology of the Vallesian (late Miocene) in the Eastern Mediterranean region","10.1016/j.palaeo.2005.01.014","Web of Science","ecological","deep-time","late Miocene",NA,"Local","Mammals","Original data",0,1,1,0,0,0,0,1,0,1,0,4
"Lefebvre, B",2007,"Early Palaeozoic palaeobiogeography and palaeoecology of stylophoran echinodenns","10.1016/j.palaeo.2006.02.021","Web of Science","ecological","deep-time","Middle Cambrianâ€“Silurian","Geological stages","Global","echinoderms","Original data",0,1,1,0,0,0,0,1,0,0,0,3
"Steadman, DW",2003,"The late Quaternary extinction and future resurrection of birds on Pacific islands","10.1016/S0012-8252(02)00116-2","Web of Science","ecological","near-time","late Quatenary","10 years","Regional","Birds","Original data",0,0,1,0,0,0,0,0,0,1,0,2
"Lynch, EA",2006,"Late-Holocene vegetation and fire history from Ferry Lake, northwestern Wisconsin, USA","10.1191/0959683606hl945rp","Web of Science","ecological","historical","past 2300 years","10 years","Regional","Vegetation","Original data",0,0,1,1,1,0,0,1,0,0,0,4
"Behling, H",2003,"Late glacial and Holocene vegetation, climate and fire history inferred from Lagoa Nova in the southeastern Brazilian lowland","10.1007/s00334-003-0020-9","Web of Science","ecological","near-time","last 10 ka","100 years","Regional","Vegetation","Original data",1,1,1,1,0,0,0,1,0,1,0,6
"Millar, CI",2006,"Late Holocene forest dynamics, volcanism, and climate change at Whitewing Mountain and San Joaquin Ridge, Mono County, Sierra Nevada, CA, USA","10.1016/j.yqres.2006.05.001","Web of Science","ecological","near-time","815-1350 AD","1 year","Regional","Vegetation","Original data",1,1,1,0,1,1,0,1,1,1,1,9
